origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.01,677.10
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.01,375.76
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.01,189.35
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.01,87.19
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.025,688.60
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.025,397.86
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.025,209.45
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.025,101.27
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.05,703.20
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.05,414.89
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.05,224.00
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.05,111.79
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.1,729.18
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.1,433.99
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.1,240.79
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.1,126.59
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.15,764.31
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.15,454.00
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.15,253.88
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.15,133.37
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.2,790.30
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.2,477.86
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.2,269.83
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.2,140.72
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.25,823.10
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.25,499.80
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.25,286.58
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.25,151.85
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.3,850.14
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.3,518.78
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.3,302.50
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.3,164.71
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.35,872.00
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.35,537.95
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.35,311.83
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.35,173.06
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.4,898.16
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.4,555.66
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.4,325.78
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.4,180.50
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.45,933.97
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.45,579.00
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.45,340.86
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.45,190.86
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.5,969.80
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.5,606.50
