target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-03-15,1,quantile,0.01,161.04909655376906,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.01,52.59290946558489,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.01,31.552375882307942,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.01,31.401674819077478,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.025,172.97150841123184,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.025,63.315876969535346,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.025,67.80351142649475,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.025,35.49511914552205,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.05,185.90048924631094,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.05,67.55098626760588,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.05,83.8818970370637,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.05,73.84585501414902,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.1,187.45654651256652,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.1,78.98283375729268,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.1,93.60930819566812,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.1,77.83563002734819,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.15,200.33463654678673,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.15,89.04750441207348,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.15,100.17243449301537,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.15,79.03882566586286,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.2,218.7234520505165,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.2,97.55296915946143,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.2,105.39795244440145,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.2,80.08406476326617,2026-03-18
