"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-03-18,1,2026-03-15,0.01,2214.6,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.025,2224.425,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.05,2237.7,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.1,2253.7,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.15,2265.85,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.2,2270.8,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.25,2278.5,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.3,2284.1,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.35,2289.3,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.4,2294,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.45,2300.1,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.5,2304.5,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.55,2310.45,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.6,2318.4,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.65,2323.7,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.7,2329.6,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.75,2336.25,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.8,2339.2,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.85,2344.45,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.9,2355.4,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.95,2383,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.975,2388.2,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.99,2394.41,"quantile","ILI incidence","AT"
2026-03-18,1,2026-03-15,0.01,196.97,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.025,200.95,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.05,204.9,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.1,209.8,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.15,213,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.2,215,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.25,218,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.3,220,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.35,221,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.4,223.6,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.45,225,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.5,226.5,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.55,230,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.6,232,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.65,232.35,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.7,236,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.75,238,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.8,239,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.85,241,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.9,244.3,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.95,253.05,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.975,257.1,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.99,260.04,"quantile","ILI incidence","BE"
2026-03-18,1,2026-03-15,0.01,1,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.025,1,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.05,1,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.1,2,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.15,2,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.2,3,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.25,3,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.3,3,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.35,4,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.4,4,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.45,4,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.5,4,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.55,5,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.6,5,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.65,5,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.7,6,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.75,6,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.8,7,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.85,7,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.9,8,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.95,8.05,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.975,9,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.99,9.02000000000001,"quantile","ILI incidence","HR"
2026-03-18,1,2026-03-15,0.01,21.99,"quantile","ILI incidence","CZ"
2026-03-18,1,2026-03-15,0.025,23.475,"quantile","ILI incidence","CZ"
