origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.010,414.2999999999997
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.025,873.4000000000001
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.050,1114.9
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.100,1382.9
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.150,1527.9
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.200,1637.4
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.250,1699.7
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.300,1761.0000000000002
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.350,1888.9
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.400,1930.0000000000002
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.450,2008.5
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.500,2072.5
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.550,2139.4
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.600,2198.3
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.650,2262.9
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.700,2390.8
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.750,2452.1000000000004
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.800,2514.4
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.850,2626.6000000000004
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.900,2850.7000000000003
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.950,3036.9
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.975,3278.4
2026-03-18,ILI incidence,1,2026-03-15,AT,quantile,0.990,3737.5000000000005
2026-03-18,ILI incidence,1,2026-03-15,AT,median,,2072.5
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.010,0.0
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.025,320.8000000000004
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.050,676.3900000000001
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.100,1014.3000000000006
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.150,1235.0
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.200,1403.2000000000005
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.250,1539.025
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.300,1658.0000000000002
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.350,1765.1249999999998
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.400,1874.6999999999996
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.450,1975.61
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.500,2075.9
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.550,2162.0
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.600,2267.7
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.650,2377.17
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.700,2481.49
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.750,2602.2749999999996
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.800,2743.3400000000006
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.850,2914.03
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.900,3129.5000000000005
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.950,3477.1549999999997
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.975,3874.8474999999994
2026-03-18,ILI incidence,2,2026-03-22,AT,quantile,0.990,4508.340000000001
2026-03-18,ILI incidence,2,2026-03-22,AT,median,,2075.9
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.010,0.0
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.025,0.0
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.050,273.27000000000044
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.100,713.6000000000004
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.150,999.21
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.200,1213.9000000000005
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.250,1391.15
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.300,1550.4899999999998
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.350,1691.0000000000005
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.400,1827.6800000000003
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.450,1949.075
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.500,2072.1000000000004
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.550,2197.4900000000002
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.600,2329.5
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.650,2458.9350000000004
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.700,2604.03
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.750,2735.9500000000003
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.800,2913.0
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.850,3121.83
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.900,3386.8700000000003
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.950,3848.879999999999
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.975,4289.214999999998
2026-03-18,ILI incidence,3,2026-03-29,AT,quantile,0.990,4958.955000000001
2026-03-18,ILI incidence,3,2026-03-29,AT,median,,2072.1000000000004
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.010,0.0
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.025,0.0
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.050,0.0
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.100,507.93000000000006
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.150,805.1949999999993
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.200,1069.1600000000008
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.250,1276.775
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.300,1446.6000000000001
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.350,1610.1300000000003
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.400,1754.8000000000002
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.450,1902.8500000000001
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.500,2042.0999999999997
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.550,2184.5449999999996
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.600,2337.56
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.650,2492.9700000000007
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.700,2658.76
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.750,2833.375
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.800,3040.4200000000005
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.850,3283.745
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.900,3598.2200000000003
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.950,4119.215
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.975,4611.489999999998
2026-03-18,ILI incidence,4,2026-04-05,AT,quantile,0.990,5313.752000000002
2026-03-18,ILI incidence,4,2026-04-05,AT,median,,2042.0999999999997
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.010,0.0
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.025,0.0
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.050,0.0
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.100,39.599999999999994
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.150,64.9
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.200,80.8
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.250,89.57499999999999
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.300,99.0
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.350,104.5
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.400,111.1
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.450,117.9
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.500,123.6
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.550,129.9
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.600,136.2
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.650,143.5
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.700,148.9
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.750,157.4
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.800,166.2
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.850,177.09999999999997
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.900,207.4
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.950,285.19999999999993
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.975,376.09999999999997
2026-03-18,ILI incidence,1,2026-03-15,BE,quantile,0.990,431.30000000000007
2026-03-18,ILI incidence,1,2026-03-15,BE,median,,123.6
2026-03-18,ILI incidence,2,2026-03-22,BE,quantile,0.010,0.0
2026-03-18,ILI incidence,2,2026-03-22,BE,quantile,0.025,0.0
2026-03-18,ILI incidence,2,2026-03-22,BE,quantile,0.050,0.0
2026-03-18,ILI incidence,2,2026-03-22,BE,quantile,0.100,0.0
2026-03-18,ILI incidence,2,2026-03-22,BE,quantile,0.150,19.50000000000001
