origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.01,1511.8666622403339
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.01,1247.2119957592847
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.01,990.0360875413845
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.01,773.4320674975019
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.025,1554.7046830439042
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.025,1272.976737828979
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.025,1016.6934949303837
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.025,799.1533656210072
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.05,1594.500791099141
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.05,1314.2715283666787
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.05,1052.6862142574125
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.05,826.4394332100208
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.1,1678.8366210590289
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.1,1384.620811372329
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.1,1120.357133075373
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.1,884.1947566920247
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.15,1761.9943621065156
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.15,1478.5125532751103
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.15,1223.7796619744888
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.15,985.6819270633421
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.2,1808.6030033195811
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.2,1545.965361226914
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.2,1292.3479959718254
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.2,1054.4552333356155
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.25,1854.2909324288698
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.25,1595.1340767409608
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.25,1337.3215660545866
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.25,1099.8941711527837
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.3,1908.8085222286693
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.3,1637.418259082166
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.3,1375.6560317611477
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.3,1139.5930808610938
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.35,1953.1389942616972
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.35,1684.1680992327344
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.35,1422.4934505014105
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.35,1177.587847941984
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.4,1994.0285607687847
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.4,1727.410697412894
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.4,1459.4473249184348
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.4,1211.5861122325296
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.45,2040.783186619888
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.45,1764.8884225972197
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.45,1498.6003466227357
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.45,1240.2700674218875
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.5,2078.356115419779
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.5,1812.9275534504818
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.5,1539.796659552766
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.5,1281.1244514771959
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.55,2127.2375384410857
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.55,1856.281256824277
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.55,1586.4712236856874
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.55,1324.3942288987748
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.6,2168.0574279140305
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.6,1913.2694212789402
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.6,1628.8774658057644
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.6,1362.8698687338756
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.65,2227.54292581732
2026-03-18,ILI incidence,2026-03-22,2,AT,quantile,0.65,1963.1841936721025
2026-03-18,ILI incidence,2026-03-29,3,AT,quantile,0.65,1676.4197731486663
2026-03-18,ILI incidence,2026-04-05,4,AT,quantile,0.65,1409.5489166258317
2026-03-18,ILI incidence,2026-03-15,1,AT,quantile,0.7,2287.21508115681
