target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-02-18,2026-02-15,0.01,1,quantile,1636.27352427906
ILI incidence,AT,2026-02-18,2026-02-15,0.025,1,quantile,1732.10317571363
ILI incidence,AT,2026-02-18,2026-02-15,0.05,1,quantile,1843.84423668306
ILI incidence,AT,2026-02-18,2026-02-15,0.1,1,quantile,1966.28701441266
ILI incidence,AT,2026-02-18,2026-02-15,0.15,1,quantile,2040.78803433346
ILI incidence,AT,2026-02-18,2026-02-15,0.2,1,quantile,2120.68250605526
ILI incidence,AT,2026-02-18,2026-02-15,0.25,1,quantile,2174.10173115958
ILI incidence,AT,2026-02-18,2026-02-15,0.3,1,quantile,2225.78455986652
ILI incidence,AT,2026-02-18,2026-02-15,0.35,1,quantile,2277.68204525631
ILI incidence,AT,2026-02-18,2026-02-15,0.4,1,quantile,2311.4109763401
ILI incidence,AT,2026-02-18,2026-02-15,0.45,1,quantile,2359.07900128879
ILI incidence,AT,2026-02-18,2026-02-15,0.5,1,quantile,2408.50473872696
ILI incidence,AT,2026-02-18,2026-02-15,0.55,1,quantile,2443.80892347238
ILI incidence,AT,2026-02-18,2026-02-15,0.6,1,quantile,2500.4546903837
ILI incidence,AT,2026-02-18,2026-02-15,0.65,1,quantile,2556.02152362839
ILI incidence,AT,2026-02-18,2026-02-15,0.7,1,quantile,2599.19209635398
ILI incidence,AT,2026-02-18,2026-02-15,0.75,1,quantile,2672.41892987617
ILI incidence,AT,2026-02-18,2026-02-15,0.8,1,quantile,2757.91175697413
ILI incidence,AT,2026-02-18,2026-02-15,0.85,1,quantile,2837.99844091086
ILI incidence,AT,2026-02-18,2026-02-15,0.9,1,quantile,2940.65638767354
ILI incidence,AT,2026-02-18,2026-02-15,0.95,1,quantile,3088.99325966597
ILI incidence,AT,2026-02-18,2026-02-15,0.975,1,quantile,3167.59167757601
ILI incidence,AT,2026-02-18,2026-02-15,0.99,1,quantile,3300.0688706825
ILI incidence,AT,2026-02-18,2026-02-22,0.01,2,quantile,1146.43948312812
ILI incidence,AT,2026-02-18,2026-02-22,0.025,2,quantile,1287.64498465219
ILI incidence,AT,2026-02-18,2026-02-22,0.05,2,quantile,1403.77021380307
