origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.01,2400.9785280377664
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.025,2424.127848128003
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.05,2447.681274966158
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.1,2489.078978652168
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.15,2519.613601034589
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.2,2548.1739568074686
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.25,2572.597744095923
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.3,2596.211295782162
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.35,2616.9771246934934
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.4,2639.955436952725
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.45,2661.8032377043137
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.5,2680.8905812668686
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.55,2699.27515054414
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.6,2717.2644663297065
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.65,2735.15397827498
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.7,2754.3332637947105
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.75,2773.1088997923403
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.8,2793.0412110867505
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.85,2816.763968055383
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.9,2843.7703720991653
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.95,2879.517294115864
2026-02-25,ILI incidence,-1,2026-02-08,AT,quantile,0.975,2910.6753641019645
