origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-18,ARI incidence,2026-02-15,1,BG,median,,1011.9769
2026-02-18,ARI incidence,2026-02-22,2,BG,median,,903.26794
2026-02-18,ARI incidence,2026-03-01,3,BG,median,,854.5003
2026-02-18,ARI incidence,2026-03-08,4,BG,median,,811.6783
2026-02-18,ARI incidence,2026-02-15,1,CY,median,,14562.603
2026-02-18,ARI incidence,2026-02-22,2,CY,median,,14699.282
2026-02-18,ARI incidence,2026-03-01,3,CY,median,,14668.348
2026-02-18,ARI incidence,2026-03-08,4,CY,median,,14159.815
2026-02-18,ARI incidence,2026-02-15,1,CZ,median,,1151.709
2026-02-18,ARI incidence,2026-02-22,2,CZ,median,,1104.4042
2026-02-18,ARI incidence,2026-03-01,3,CZ,median,,1084.2604
2026-02-18,ARI incidence,2026-03-08,4,CZ,median,,1054.0128
2026-02-18,ARI incidence,2026-02-15,1,DE,median,,1890.9624
2026-02-18,ARI incidence,2026-02-22,2,DE,median,,1814.382
2026-02-18,ARI incidence,2026-03-01,3,DE,median,,1794.8513
2026-02-18,ARI incidence,2026-03-08,4,DE,median,,1710.693
2026-02-18,ARI incidence,2026-02-15,1,EE,median,,297.12305
2026-02-18,ARI incidence,2026-02-22,2,EE,median,,292.61087
2026-02-18,ARI incidence,2026-03-01,3,EE,median,,286.55963
2026-02-18,ARI incidence,2026-03-08,4,EE,median,,281.242
2026-02-18,ARI incidence,2026-02-15,1,ES,median,,496.50763
2026-02-18,ARI incidence,2026-02-22,2,ES,median,,486.1205
2026-02-18,ARI incidence,2026-03-01,3,ES,median,,477.19836
2026-02-18,ARI incidence,2026-03-08,4,ES,median,,470.01465
2026-02-18,ARI incidence,2026-02-15,1,FI,median,,3125.2793
2026-02-18,ARI incidence,2026-02-22,2,FI,median,,3169.3433
2026-02-18,ARI incidence,2026-03-01,3,FI,median,,3171.553
2026-02-18,ARI incidence,2026-03-08,4,FI,median,,3131.0642
2026-02-18,ARI incidence,2026-02-15,1,FR,median,,310.3385
2026-02-18,ARI incidence,2026-02-22,2,FR,median,,260.3208
2026-02-18,ARI incidence,2026-03-01,3,FR,median,,218.48842
2026-02-18,ARI incidence,2026-03-08,4,FR,median,,194.84656
2026-02-18,ARI incidence,2026-02-15,1,HU,median,,3196.509
2026-02-18,ARI incidence,2026-02-22,2,HU,median,,3202.0972
2026-02-18,ARI incidence,2026-03-01,3,HU,median,,3091.5508
2026-02-18,ARI incidence,2026-03-08,4,HU,median,,2905.3828
2026-02-18,ARI incidence,2026-02-15,1,IE,median,,71.22576
2026-02-18,ARI incidence,2026-02-22,2,IE,median,,70.62223
2026-02-18,ARI incidence,2026-03-01,3,IE,median,,70.66367
2026-02-18,ARI incidence,2026-03-08,4,IE,median,,70.0646
2026-02-18,ARI incidence,2026-02-15,1,IS,median,,83.67471
2026-02-18,ARI incidence,2026-02-22,2,IS,median,,86.07907
2026-02-18,ARI incidence,2026-03-01,3,IS,median,,86.9317
2026-02-18,ARI incidence,2026-03-08,4,IS,median,,87.13156
2026-02-18,ARI incidence,2026-02-15,1,IT,median,,1078.7471
2026-02-18,ARI incidence,2026-02-22,2,IT,median,,1067.512
2026-02-18,ARI incidence,2026-03-01,3,IT,median,,1049.4581
2026-02-18,ARI incidence,2026-03-08,4,IT,median,,1018.2372
2026-02-18,ARI incidence,2026-02-15,1,LT,median,,893.9328
2026-02-18,ARI incidence,2026-02-22,2,LT,median,,858.5294
2026-02-18,ARI incidence,2026-03-01,3,LT,median,,868.91785
2026-02-18,ARI incidence,2026-03-08,4,LT,median,,887.8539
2026-02-18,ARI incidence,2026-02-15,1,LU,median,,14773.769
2026-02-18,ARI incidence,2026-02-22,2,LU,median,,14783.239
2026-02-18,ARI incidence,2026-03-01,3,LU,median,,14542.415
2026-02-18,ARI incidence,2026-03-08,4,LU,median,,14365.309
2026-02-18,ARI incidence,2026-02-15,1,LV,median,,1700.8528
2026-02-18,ARI incidence,2026-02-22,2,LV,median,,1701.1594
2026-02-18,ARI incidence,2026-03-01,3,LV,median,,1751.7622
2026-02-18,ARI incidence,2026-03-08,4,LV,median,,1704.111
2026-02-18,ARI incidence,2026-02-15,1,NL,median,,168.82915
