target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-03-15,1,quantile,0.01,161.53414642506675,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.01,20.751310936744506,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.01,9.677548642089171,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.01,34.43283179474107,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.025,211.14372974453843,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.025,66.0855906374037,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.025,10.824269570643919,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.025,42.76201305195156,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.05,217.63694212673235,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.05,73.3130330390663,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.05,20.580322436906336,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.05,46.3068005600377,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.1,223.28887802452599,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.1,87.88461975927954,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.1,45.09337923061614,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.1,60.62020487158383,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.15,237.43266673044255,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.15,96.18192579819862,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.15,64.99180211706526,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.15,71.84258023027176,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.2,239.94759739433303,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.2,103.55198956990654,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.2,73.95168275958838,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.2,76.3880665397249,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.25,242.39100801595512,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.25,114.49415480865629,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.25,82.56566114518881,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.25,79.42098523550459,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.3,258.13277299667897,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.3,124.43067056766122,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.3,86.19332048169105,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.3,82.89607256914682,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.35,261.07973390807825,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.35,132.14665117854042,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.35,92.20280467869041,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.35,85.1674789645874,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.4,267.24510458672285,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.4,138.8934760596007,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.4,98.6910602471882,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.4,87.45264191630282,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.45,270.14523881983627,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.45,141.03788937477418,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.45,101.40280878108484,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.45,89.2546127296864,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.5,273.4332075866314,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.5,141.93971357866462,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.5,103.807994043496,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.5,90.9701027498926,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.55,281.94277171311234,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.55,143.41153593529478,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.55,105.92267780726549,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.55,92.82874377705242,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.6,288.8293760433887,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.6,146.14406533098716,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.6,107.74212817903275,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.6,94.4174550015991,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.65,293.2610395226317,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.65,152.30945452730253,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.65,109.50059041947215,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.65,97.94106142607227,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.7,301.15640870260575,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.7,178.60048882490284,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.7,111.58266181837978,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.7,100.62063262057883,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.75,307.17156805524854,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.75,197.00182642009045,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.75,112.73914815905701,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.75,103.73609550970217,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.8,312.3312819739278,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.8,199.0867472187602,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.8,114.72718424309052,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.8,109.9806939015916,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.85,315.59694686988144,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.85,239.82203819570944,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.85,128.9156080686016,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.85,121.59280179285807,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.9,318.81672919449414,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.9,244.00881157326225,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.9,151.8674361571136,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.9,165.71210078054924,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.95,334.6177967192293,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.95,247.68998304676856,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.95,157.90303547539744,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.95,184.53340100131103,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.975,358.7629314630424,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.975,251.99410631637014,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.975,172.6750676580234,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.975,208.0841989193858,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.99,373.61018850316805,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.99,294.53313581098683,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.99,203.44641174762546,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.99,215.98484243348273,2026-03-18
ILI incidence,BE,2026-03-15,1,median,,273.4332075866314,2026-03-18
ILI incidence,BE,2026-03-22,2,median,,141.93971357866462,2026-03-18
ILI incidence,BE,2026-03-29,3,median,,103.807994043496,2026-03-18
ILI incidence,BE,2026-04-05,4,median,,90.9701027498926,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.01,362.5386117428002,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.01,488.19382929484294,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.01,416.71077192357006,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.01,447.89936866747223,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.025,429.5970033458521,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.025,559.2771788792957,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.025,497.1302814024846,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.025,571.9918451395389,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.05,576.7098226807572,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.05,571.5035308491085,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.05,595.5714568183213,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.05,590.4706475416659,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.1,641.1081790370577,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.1,617.1414842519581,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.1,671.4118587842594,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.1,631.8656618744251,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.15,677.1761366406006,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.15,666.3591094535732,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.15,721.5584195340308,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.15,647.6304484766072,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.2,694.5216417720799,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.2,686.4414768680983,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.2,766.6872493653791,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.2,665.1528247904602,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.25,704.79741898903,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.25,697.391105409557,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.25,773.8895282171302,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.25,681.6573515045759,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.3,721.0405492422748,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.3,709.4259378947654,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.3,779.115839088726,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.3,705.8734554474652,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.35,732.7975335499024,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.35,714.8709161887956,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.35,800.759432722173,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.35,728.9402746124334,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.4,742.3270952136108,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.4,721.1282962696238,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.4,816.0603451906646,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.4,747.9455419495595,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.45,757.1856631807293,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.45,730.0551180781226,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.45,821.9708316022676,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.45,765.555615976149,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.5,764.8338807421983,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.5,749.4808724410591,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.5,833.092452793687,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.5,771.780928457164,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.55,778.7761411789833,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.55,770.4862140341982,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.55,851.6086179670511,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.55,776.3785769201003,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.6,795.9948226715532,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.6,775.4656299817433,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.6,863.5097751158604,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.6,778.05712578025,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.65,803.3648893817558,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.65,790.5049677133745,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.65,877.1482018946373,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.65,780.1183502572403,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.7,821.5818949077791,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.7,833.596109747962,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.7,884.5554447373206,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.7,782.9269845978406,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.75,845.6257352514373,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.75,850.0806022217713,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.75,890.7618917686552,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.75,811.2551134436061,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.8,873.773890796403,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.8,862.704747681534,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.8,901.0401518581392,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.8,832.8510392676932,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.85,901.3084326123063,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.85,880.7486234584615,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.85,954.9201588233833,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.85,905.6976317427993,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.9,935.3378165342818,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.9,909.7008873202043,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.9,957.891913471472,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.9,953.3307889024023,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.95,1024.638326314534,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.95,920.9153664507342,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.95,981.5967030067332,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.95,957.8712504722594,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.975,1090.626359584246,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.975,929.608434123502,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.975,1018.5533588970834,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.975,960.9053001296534,2026-03-18
ILI incidence,GR,2026-03-15,1,quantile,0.99,1095.2927219506198,2026-03-18
ILI incidence,GR,2026-03-22,2,quantile,0.99,1063.2582652685405,2026-03-18
ILI incidence,GR,2026-03-29,3,quantile,0.99,1082.209441185463,2026-03-18
ILI incidence,GR,2026-04-05,4,quantile,0.99,986.9185807981116,2026-03-18
ILI incidence,GR,2026-03-15,1,median,,764.8338807421983,2026-03-18
ILI incidence,GR,2026-03-22,2,median,,749.4808724410591,2026-03-18
ILI incidence,GR,2026-03-29,3,median,,833.092452793687,2026-03-18
ILI incidence,GR,2026-04-05,4,median,,771.780928457164,2026-03-18
ILI incidence,IS,2026-03-15,1,quantile,0.01,4.508653174177012,2026-03-18
ILI incidence,IS,2026-03-22,2,quantile,0.01,0.5962619310818786,2026-03-18
ILI incidence,IS,2026-03-29,3,quantile,0.01,1.0634526483899378,2026-03-18
ILI incidence,IS,2026-04-05,4,quantile,0.01,0.0,2026-03-18
ILI incidence,IS,2026-03-15,1,quantile,0.025,4.814085624262045,2026-03-18
ILI incidence,IS,2026-03-22,2,quantile,0.025,2.4508474632823027,2026-03-18
ILI incidence,IS,2026-03-29,3,quantile,0.025,2.0745709622073614,2026-03-18
ILI incidence,IS,2026-04-05,4,quantile,0.025,0.7687502566793689,2026-03-18
ILI incidence,IS,2026-03-15,1,quantile,0.05,5.4272155850901305,2026-03-18
ILI incidence,IS,2026-03-22,2,quantile,0.05,2.5912169808780305,2026-03-18
ILI incidence,IS,2026-03-29,3,quantile,0.05,2.669430157864931,2026-03-18
ILI incidence,IS,2026-04-05,4,quantile,0.05,1.5374894216580366,2026-03-18
ILI incidence,IS,2026-03-15,1,quantile,0.1,5.723077804303472,2026-03-18
ILI incidence,IS,2026-03-22,2,quantile,0.1,2.728600416914354,2026-03-18
ILI incidence,IS,2026-03-29,3,quantile,0.1,3.761164387398966,2026-03-18
ILI incidence,IS,2026-04-05,4,quantile,0.1,2.274525737357638,2026-03-18
ILI incidence,IS,2026-03-15,1,quantile,0.15,6.610471055874942,2026-03-18
ILI incidence,IS,2026-03-22,2,quantile,0.15,2.8644395860416485,2026-03-18
