target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-02-18,2026-02-15,0.01,1,quantile,1470.06836262779
ILI incidence,AT,2026-02-18,2026-02-15,0.025,1,quantile,1540.46104496667
ILI incidence,AT,2026-02-18,2026-02-15,0.05,1,quantile,1647.47967912037
ILI incidence,AT,2026-02-18,2026-02-15,0.1,1,quantile,1807.48545771872
ILI incidence,AT,2026-02-18,2026-02-15,0.15,1,quantile,1908.93358530702
ILI incidence,AT,2026-02-18,2026-02-15,0.2,1,quantile,2000.84447088622
ILI incidence,AT,2026-02-18,2026-02-15,0.25,1,quantile,2072.94166621024
ILI incidence,AT,2026-02-18,2026-02-15,0.3,1,quantile,2144.51545481496
ILI incidence,AT,2026-02-18,2026-02-15,0.35,1,quantile,2207.92996778836
ILI incidence,AT,2026-02-18,2026-02-15,0.4,1,quantile,2320.21511356106
ILI incidence,AT,2026-02-18,2026-02-15,0.45,1,quantile,2396.14101510487
ILI incidence,AT,2026-02-18,2026-02-15,0.5,1,quantile,2490.80988743295
ILI incidence,AT,2026-02-18,2026-02-15,0.55,1,quantile,2544.17287086394
ILI incidence,AT,2026-02-18,2026-02-15,0.6,1,quantile,2625.62093564709
ILI incidence,AT,2026-02-18,2026-02-15,0.65,1,quantile,2708.22392578585
ILI incidence,AT,2026-02-18,2026-02-15,0.7,1,quantile,2803.3251706017
ILI incidence,AT,2026-02-18,2026-02-15,0.75,1,quantile,2892.44642515738
ILI incidence,AT,2026-02-18,2026-02-15,0.8,1,quantile,2992.24017191229
ILI incidence,AT,2026-02-18,2026-02-15,0.85,1,quantile,3084.50590367566
ILI incidence,AT,2026-02-18,2026-02-15,0.9,1,quantile,3288.14540571888
ILI incidence,AT,2026-02-18,2026-02-15,0.95,1,quantile,3532.72955482053
ILI incidence,AT,2026-02-18,2026-02-15,0.975,1,quantile,3754.98341995658
ILI incidence,AT,2026-02-18,2026-02-15,0.99,1,quantile,4054.1555059881
ILI incidence,AT,2026-02-18,2026-02-22,0.01,2,quantile,967.624716867091
ILI incidence,AT,2026-02-18,2026-02-22,0.025,2,quantile,1102.404682901
ILI incidence,AT,2026-02-18,2026-02-22,0.05,2,quantile,1226.64821692249
ILI incidence,AT,2026-02-18,2026-02-22,0.1,2,quantile,1412.78117823113
ILI incidence,AT,2026-02-18,2026-02-22,0.15,2,quantile,1516.65376111355
ILI incidence,AT,2026-02-18,2026-02-22,0.2,2,quantile,1620.59974097915
ILI incidence,AT,2026-02-18,2026-02-22,0.25,2,quantile,1722.89786264212
ILI incidence,AT,2026-02-18,2026-02-22,0.3,2,quantile,1837.35913193484
ILI incidence,AT,2026-02-18,2026-02-22,0.35,2,quantile,1940.5446357277
ILI incidence,AT,2026-02-18,2026-02-22,0.4,2,quantile,2038.0703726365
ILI incidence,AT,2026-02-18,2026-02-22,0.45,2,quantile,2134.4221533605
ILI incidence,AT,2026-02-18,2026-02-22,0.5,2,quantile,2235.74629414124
ILI incidence,AT,2026-02-18,2026-02-22,0.55,2,quantile,2342.98043402412
