target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-03-18,2026-03-15,0.01,1,quantile,1046.21344195596
ILI incidence,AT,2026-03-18,2026-03-15,0.025,1,quantile,1112.90449141613
ILI incidence,AT,2026-03-18,2026-03-15,0.05,1,quantile,1183.96176730726
ILI incidence,AT,2026-03-18,2026-03-15,0.1,1,quantile,1329.25854386368
ILI incidence,AT,2026-03-18,2026-03-15,0.15,1,quantile,1410.3059124858
ILI incidence,AT,2026-03-18,2026-03-15,0.2,1,quantile,1479.15482697361
ILI incidence,AT,2026-03-18,2026-03-15,0.25,1,quantile,1547.47362016201
ILI incidence,AT,2026-03-18,2026-03-15,0.3,1,quantile,1592.75313820869
ILI incidence,AT,2026-03-18,2026-03-15,0.35,1,quantile,1658.89728019567
ILI incidence,AT,2026-03-18,2026-03-15,0.4,1,quantile,1733.6091903715
ILI incidence,AT,2026-03-18,2026-03-15,0.45,1,quantile,1810.37002227465
ILI incidence,AT,2026-03-18,2026-03-15,0.5,1,quantile,1880.71594297461
ILI incidence,AT,2026-03-18,2026-03-15,0.55,1,quantile,1938.0599941024
ILI incidence,AT,2026-03-18,2026-03-15,0.6,1,quantile,1997.19164382185
ILI incidence,AT,2026-03-18,2026-03-15,0.65,1,quantile,2071.76930687641
ILI incidence,AT,2026-03-18,2026-03-15,0.7,1,quantile,2147.21094144833
ILI incidence,AT,2026-03-18,2026-03-15,0.75,1,quantile,2217.54817401252
ILI incidence,AT,2026-03-18,2026-03-15,0.8,1,quantile,2308.71614612242
ILI incidence,AT,2026-03-18,2026-03-15,0.85,1,quantile,2406.31558745857
ILI incidence,AT,2026-03-18,2026-03-15,0.9,1,quantile,2565.75684849965
ILI incidence,AT,2026-03-18,2026-03-15,0.95,1,quantile,2780.32271442935
ILI incidence,AT,2026-03-18,2026-03-15,0.975,1,quantile,3014.43874209169
ILI incidence,AT,2026-03-18,2026-03-15,0.99,1,quantile,3289.32370522281
ILI incidence,AT,2026-03-18,2026-03-22,0.01,2,quantile,683.945087131495
ILI incidence,AT,2026-03-18,2026-03-22,0.025,2,quantile,781.889667542823
ILI incidence,AT,2026-03-18,2026-03-22,0.05,2,quantile,879.192265907782
ILI incidence,AT,2026-03-18,2026-03-22,0.1,2,quantile,1021.12863645618
ILI incidence,AT,2026-03-18,2026-03-22,0.15,2,quantile,1120.32646478424
ILI incidence,AT,2026-03-18,2026-03-22,0.2,2,quantile,1199.59399643142
ILI incidence,AT,2026-03-18,2026-03-22,0.25,2,quantile,1285.04604203836
ILI incidence,AT,2026-03-18,2026-03-22,0.3,2,quantile,1379.68539665809
ILI incidence,AT,2026-03-18,2026-03-22,0.35,2,quantile,1467.23601406863
ILI incidence,AT,2026-03-18,2026-03-22,0.4,2,quantile,1542.22225081753
ILI incidence,AT,2026-03-18,2026-03-22,0.45,2,quantile,1615.92836682037
ILI incidence,AT,2026-03-18,2026-03-22,0.5,2,quantile,1702.66019591268
ILI incidence,AT,2026-03-18,2026-03-22,0.55,2,quantile,1800.80702118604
ILI incidence,AT,2026-03-18,2026-03-22,0.6,2,quantile,1870.5283460506
ILI incidence,AT,2026-03-18,2026-03-22,0.65,2,quantile,1953.32557901806
ILI incidence,AT,2026-03-18,2026-03-22,0.7,2,quantile,2076.63517986475
ILI incidence,AT,2026-03-18,2026-03-22,0.75,2,quantile,2175.16105322841
ILI incidence,AT,2026-03-18,2026-03-22,0.8,2,quantile,2317.76246194222
ILI incidence,AT,2026-03-18,2026-03-22,0.85,2,quantile,2468.24557943208
ILI incidence,AT,2026-03-18,2026-03-22,0.9,2,quantile,2743.46506072062
ILI incidence,AT,2026-03-18,2026-03-22,0.95,2,quantile,3163.85592763714
ILI incidence,AT,2026-03-18,2026-03-22,0.975,2,quantile,3555.11298806293
ILI incidence,AT,2026-03-18,2026-03-22,0.99,2,quantile,3862.88914692558
ILI incidence,AT,2026-03-18,2026-03-29,0.01,3,quantile,419.639144944991
ILI incidence,AT,2026-03-18,2026-03-29,0.025,3,quantile,521.441655890533
ILI incidence,AT,2026-03-18,2026-03-29,0.05,3,quantile,625.798350540519
ILI incidence,AT,2026-03-18,2026-03-29,0.1,3,quantile,751.080034867934
ILI incidence,AT,2026-03-18,2026-03-29,0.15,3,quantile,853.290316452457
ILI incidence,AT,2026-03-18,2026-03-29,0.2,3,quantile,954.908030660062
ILI incidence,AT,2026-03-18,2026-03-29,0.25,3,quantile,1065.04536865527
ILI incidence,AT,2026-03-18,2026-03-29,0.3,3,quantile,1149.18330074681
ILI incidence,AT,2026-03-18,2026-03-29,0.35,3,quantile,1232.3027642644
ILI incidence,AT,2026-03-18,2026-03-29,0.4,3,quantile,1315.75386338783
ILI incidence,AT,2026-03-18,2026-03-29,0.45,3,quantile,1420.92818432634
