target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-03-15,1,quantile,0.01,0.0,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.01,0.0,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.01,8.932528923464243,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.01,0.0,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.025,29.3685704260223,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.025,54.84319973777193,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.025,47.84484846973146,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.025,0.0,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.05,61.44805085258832,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.05,80.99503988946807,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.05,81.7805603902567,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.05,36.52078465621351,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.1,94.04558311135968,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.1,121.82109425345014,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.1,123.6166765486459,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.1,82.87263082614548,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.15,132.38876659859162,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.15,151.79202645328485,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.15,155.32925792609623,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.15,105.42448426498225,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.2,158.8683611123016,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.2,171.21991927923509,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.2,179.95307065199358,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.2,134.08778654366245,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.25,173.44256655586975,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.25,193.05942911911728,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.25,198.50955459284765,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.25,155.71822129503317,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.3,190.85711532972735,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.3,215.8960261347572,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.3,218.7034984579379,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.3,174.50455880517828,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.35,205.4382449057691,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.35,233.67214635953343,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.35,236.2015126713444,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.35,195.75068618055565,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.4,221.94457958110488,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.4,250.61478982653148,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.4,250.1108440563855,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.4,210.72969472057554,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.45,240.0780700263133,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.45,266.2545739463113,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.45,265.1612461908425,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.45,228.14762094370576,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.5,258.63672094808817,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.5,285.5967223238399,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.5,279.3188272096851,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.5,238.2107358535866,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.55,271.9440810640289,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.55,300.2023140930241,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.55,295.77984716040805,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.55,253.4766930751527,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.6,287.7072321212597,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.6,320.7846145470631,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.6,310.802857641963,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.6,275.8633273820537,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.65,301.34668586124553,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.65,336.7537052657253,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.65,332.5983751387898,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.65,288.57187049010753,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.7,315.9754083482887,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.7,350.1440120760649,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.7,347.93892626735527,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.7,305.63136270439844,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.75,338.3571950965014,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.75,368.38323539958606,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.75,365.5975834821228,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.75,329.7804511896536,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.8,355.79908257563045,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.8,385.5952007911885,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.8,383.9703326960751,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.8,351.2723733611155,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.85,378.3448887535794,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.85,410.838054565689,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.85,400.766072188426,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.85,371.71619624403326,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.9,413.6954530618246,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.9,435.0901289122405,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.9,426.3365257462246,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.9,400.13447377376076,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.95,449.2322143218087,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.95,480.35827503270195,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.95,470.93960902196216,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.95,435.44361394616067,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.975,476.10215538395653,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.975,508.3536536636081,2026-03-18
ILI incidence,BE,2026-03-29,3,quantile,0.975,512.7597182116522,2026-03-18
ILI incidence,BE,2026-04-05,4,quantile,0.975,466.6625926332489,2026-03-18
ILI incidence,BE,2026-03-15,1,quantile,0.99,523.6231727185227,2026-03-18
ILI incidence,BE,2026-03-22,2,quantile,0.99,568.8923943164631,2026-03-18
